se_setor	qu_setor	nome	
	SEPN		
	SAUN		
	SHN		
	SAUN		
	SCEN		
	SHTN		
	SCLN		
	SCEN		
	SGO		
	SGO		
	SGO		
	SGO		
	SGO		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SAUN		
	SCLN		
	SAUN		
	SAUN		
	SCLN		
	SGAN		
	SCLRN		
	SHCGN		
	SHCGN		
	SCLRN		
	SHCGN		
	SHCGN		
	SHCGN		
	SHCGN		
	SCLRN		
	SHCGN		
	SHCGN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SEPN		
	SCLN		
	SCLN		
	SEPN		
	SCLRN		
	SHCGN		
	SHCGN		
	SCLRN		
	SCRN		
	SEPN		
	SEPN		
	SEPN		
	SHCGN		
	SHCGN		
	SCLRN		
	SCRN		
	SEPN		
	SCLN		
	SCRN		
	SGAN		
	SCLN		
	SCRN		
	SCLN		
	SHN		
	SHN		
	SHN		
	SHN		
	SMHN		
	SMHN		
	SCLN		
	SCLN		
	SGAN		
	SCLN		
	SCLN		
	SGAN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SEPS		
	SEPS		
	SAFS		
	SGAS		
	SGAS		
	SGAS		
	SGAS		
	SGAS		
	SGAS		
	SAFS		
	SAFS		
	SAFS		
	SAFS		
	SCES		
	SCES		
	SAFS		
	SHS		
	SHS		
	SHS		
	SHS		
	SHS		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SGAN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCRN		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SGAN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SGAN		
	SGAN		
	SCLN		
	SCLN		
	SGAN		
	SCLN		
	SCLN		
	SCRN		
	SGAN		
	SHCGN		
	SGAN		
	SGAN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SGAN		
	SCRN		
	SCLN		
	SCLN		
	SHCGN		
	SGAN		
	SGAN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SCLN		
	SGAN		
	SCLN		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SH BONSUCESSO		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SHPB		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH ARAPOANGA ETAPA 3		
	SHCES		
	SHCES		
	SHCES		
	SHCES		
	SRES		
	SRES		
	SRES		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH GRANDE COLORADO/VIVENDAS LAGO AZUL		
	SH ARAPOANGA ETAPA 3		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SHBJ - ETAPA 4		
	SH BOA VISTA - SÍTIO VILA CÉLIA		
	SH BOA VISTA - SÍTIO VILA CÉLIA		
	SRIA II		
	SHA		
	SHA		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	SH ARAPOANGA - ETAPA 3		
	SHA		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	SH BOA VISTA - IMPÉRIO DOS NOBRES		
	SHA		
	SETOR HABITACIONAL ARAPOANGA		
	SETOR HABITACIONAL ARAPOANGA		
	SHA		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	EXPANSÃO DA VILA SÃO JOSÉ		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SH TORORO - SANTA BARBARA		
	SHJK		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	URBITA		
	SETOR MEIRELES		
	SETOR MEIRELES		
	SH BOA VISTA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH MEIRELES - RESIDENCIAL FAZENDA SANTA MARIA		
	SH BOA VISTA - IMPÉRIO DOS NOBRES		
